ID,Nvis,Loc,RAJ2000,DEJ2000,SNR,SaFlag,HRV,e_HRV,s_HRV,errHRV,f_Teff,Teff,e_Teff,f_logg,logg,e_logg,f_Vmicro,Vmicro,Vmacro,f_Vsini,Vsini,f_[M/H],[M/H],e_[M/H],f_[a/M],[a/M],e_[a/M],Chi2,TClass,AFlag,f_[C/Fe],[C/Fe],e_[C/Fe],f_[CI/Fe],[CI/Fe],e_[CI/Fe],f_[N/Fe],[N/Fe],e_[N/Fe],f_[O/Fe],[O/Fe],e_[O/Fe],f_[Na/Fe],[Na/Fe],e_[Na/Fe],f_[Mg/Fe],[Mg/Fe],e_[Mg/Fe],f_[Al/Fe],[Al/Fe],e_[Al/Fe],f_[Si/Fe],[Si/Fe],e_[Si/Fe],f_[P/Fe],[P/Fe],e_[P/Fe],f_[S/Fe],[S/Fe],e_[S/Fe],f_[K/Fe],[K/Fe],e_[K/Fe],f_[Ca/Fe],[Ca/Fe],e_[Ca/Fe],f_[Ti/Fe],[Ti/Fe],e_[Ti/Fe],f_[TiII/Fe],[TiII/Fe],e_[TiII/Fe],f_[V/Fe],[V/Fe],e_[V/Fe],f_[Cr/Fe],[Cr/Fe],e_[Cr/Fe],f_[Mn/Fe],[Mn/Fe],e_[Mn/Fe],f_[Fe/H],[Fe/H],e_[Fe/H],f_[Co/Fe],[Co/Fe],e_[Co/Fe],f_[Ni/Fe],[Ni/Fe],e_[Ni/Fe],f_[Cu/Fe],[Cu/Fe],e_[Cu/Fe],f_[Ce/Fe],[Ce/Fe],e_[Ce/Fe],Gaia,pmRA,pmDE,GAL_LON,GAL_LAT,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra_x,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
2M04555295-7547302,10,5483,73.970647,-75.791748,107.293,0,224.998001,0.017802,1.07628,0.059014,512,3907.251,87.875,33554944,0.3532,0.0652,0,2.564897,6.179318,65536,,0,-1.259462,0.0193598,0,0.040208,0.017816,2.51316,"Mg_c ",0,0,-0.53575,0.021223,0,-0.64164,0.037456,0,-0.011915,0.036873,0,0.01527,0.021348,0,0.117246,0.095343,0,0.098372,0.028455,0,-0.607671,0.039784,0,0.048342,0.023706,0,-0.676313,0.10118,0,0.576694,0.104741,512,,,0,0.092618,0.048673,512,,,512,,,256,,,0,-0.132602,0.09385,512,,,0,-1.227062,0.022688,0,-0.184628,0.077065,0,-0.116468,0.046594,512,,,131337,,,4625125525149677696,1.969,0.344,288.05001905932414,-33.200365899563394,73.97067918073,-75.79176253007,5.565E-4,5.075E-4,12.01,4625125525149677696,73.9707143598,0.0255,-75.79176076213,0.0273,-0.0225,0.0266,-0.8464,1.983,1.943,0.032,0.398,0.034,345,0.8769,375.98,0.028,0.09132,31,,,26,1.033,false,8567.61,16.5658,15.855217,2405.28,20.7292,16.88563,9013.58,14.860653,1.333,2.024977,,,0,,,,,491142617,,0.003464,0.009764,0.00638,15.855217,0.003464,8567.61,-0.006,0.5097,0.5545,0.0375,0.059537
2M04491153-7604218,10,5483,72.298061,-76.072739,100.04,0,224.246994,0.013915,0.166075,0.045502,512,3834.667,82.521,33554944,0.3222,0.0549,0,2.178262,4.462385,65536,,0,-0.703092,0.0154819,0,0.057872,0.013062,2.57911,"Mg_c ",0,0,-0.30144,0.012257,0,-0.33569,0.023936,0,0.09838,0.02296,0,0.0469,0.014677,512,,,0,0.118822,0.022147,0,-0.402241,0.038416,0,0.005463,0.018827,0,0.448077,0.072026,0,0.021503,0.06924,512,,,0,0.092115,0.028647,512,,,512,,,0,-0.048997,0.058526,0,0.178608,0.062085,512,,,0,-0.700512,0.018386,0,-0.119638,0.050939,0,-0.112478,0.03188,512,,,133385,,,4625141120174743936,1.986,-0.159,288.54589463624364,-33.46977271218324,72.29803240033,-76.07276016323,7.764E-4,7.051E-4,90.41,4625141120174743936,72.29806837728,0.0363,-76.07276062474,0.034,0.0146,0.0369,0.3965,1.951,1.948,0.048,-0.104,0.044,295,1.9678,352.81,0.149,1.862,31,,,26,1.082,false,7115.67,6.90051,16.056828,1964.4,11.336,17.105469,7513.71,15.058259,1.332,2.04721,,,0,,,,,491145116,,0.00295,0.006859,0.005468,16.056828,0.00295,7115.67,-0.009,0.7764,0.7051,-0.0014,0.080117
2M04525845-7555584,10,5483,73.243544,-75.932892,88.9735,0,246.309006,0.020743,0.975103,0.072971,512,3970.77,91.442,33554944,0.6168,0.0614,0,2.327394,5.427268,65536,,0,-1.037662,0.0180952,0,0.00795,0.016365,2.05608,"Mg_c ",0,0,-0.47355,0.019957,0,-0.68898,0.036109,0,0.08668,0.033788,0,-0.010486,0.020994,0,-0.186254,0.089853,0,0.184662,0.027031,0,-0.487671,0.041206,0,-0.017024,0.022937,0,0.654677,0.100944,0,0.674514,0.096344,512,,,0,0.089458,0.042964,512,,,512,,,0,-0.152737,0.086362,0,-0.150002,0.088573,512,,,0,-1.013362,0.020982,0,-0.208428,0.075451,0,-0.155968,0.042218,512,,,133385,,,4625163458300922240,1.905,-0.304,288.2855705625488,-33.31289416559136,73.24347075773,-75.93286530424,8.375E-4,6.746E-4,160.65,4625163458300922240,73.24350616732,0.0337,-75.93286590858,0.0367,0.001,0.0361,0.027,1.941,1.936,0.043,-0.136,0.051,295,-0.4667,289.62,0.0,0.0,31,,,24,0.98,false,5903.84,9.32062,16.259531,1804.45,20.707,17.197683,5947.74,15.312017,1.313,1.885667,,,0,,,,,491144556,,0.003245,0.012768,0.006558,16.259531,0.003245,5903.84,-0.006,0.6944,0.8212,-0.1351,0.115513
2M04502152-7548256,10,5483,72.589674,-75.807121,78.9503,0,215.171997,0.025788,0.292798,0.088705,512,4078.256,97.907,33554944,0.7979,0.0644,0,2.414738,5.802629,65536,,0,-1.151962,0.0191868,0,0.091479,0.017972,1.35991,"Mg_c ",0,0,-0.46417,0.025631,0,-0.40294,0.044624,0,0.11118,0.040703,0,0.077955,0.025483,0,0.068146,0.106821,0,0.140212,0.029478,0,-0.375771,0.042895,0,0.029663,0.025161,0,1.377917,0.121211,0,0.136784,0.111622,0,0.00529,0.10836,0,0.148688,0.051312,512,,,512,,,0,-0.611537,0.106975,0,0.125698,0.105058,512,,,0,-1.129162,0.02188,0,-0.334728,0.092742,0,-0.110268,0.047417,512,,,133385,,,4625168199944700032,2.001,0.015,288.2195585268913,-33.508498905193285,72.58957210198,-75.80718689383,7.872E-4,7.282E-4,175.89,4625168199944700032,72.58960768004,0.0334,-75.80718644481,0.0362,0.0325,0.034,0.9548,1.965,1.963,0.045,0.101,0.049,313,0.2072,325.38,0.0,0.0,31,,,27,1.007,false,5672.83,5.00409,16.302868,1817.78,14.4319,17.189686,5552.06,15.38676,1.299,1.802926,,,0,,,,,491145782,,0.002917,0.00906,0.004498,16.302868,0.002917,5672.83,-0.009,0.7285,0.7869,-0.0112,0.253697
2M04533663-7550177,10,5483,73.402648,-75.838272,87.9658,0,216.828003,0.015728,0.181245,0.050223,512,3937.962,86.573,33554944,0.708,0.0536,0,2.081565,4.1103,65536,,0,-0.562622,0.0144296,0,0.078589,0.012304,2.18404,"Mg_c ",0,0,-0.20582,0.012587,0,-0.20517,0.024692,0,0.15012,0.022462,0,0.070325,0.015177,0,-0.264784,0.062627,0,0.168922,0.021243,0,-0.302271,0.03838,0,-0.016899,0.018378,0,-1.012273,0.075348,0,0.424954,0.066226,512,,,0,0.101478,0.026674,512,,,512,,,0,-0.071487,0.06262,0,0.046278,0.061211,512,,,0,-0.564502,0.016871,0,0.001202,0.052682,0,-0.052108,0.029537,512,,,131337,,,4625171532839343488,2.146,-0.143,288.1631978329528,-33.31253051419621,73.40267303705,-75.8382717501,7.768E-4,6.203E-4,11.59,4625171532839343488,73.40270950256,0.0334,-75.83827138376,0.0351,-0.017,0.0344,-0.4946,2.009,2.007,0.039,0.082,0.048,318,-0.0703,323.36,0.0,0.0,31,,,25,0.996,false,5854.52,3.62148,16.268639,1720.76,10.7191,17.249239,6034.28,15.296332,1.325,1.952907,,,0,,,,,491144709,,0.002836,0.007316,0.004866,16.268639,0.002836,5854.52,-0.004,0.6273,0.7711,0.089,0.02207
2M04480579-7542438,10,5483,72.024162,-75.712181,119.006,0,203.281998,0.01142,0.34313,0.036328,512,3919.123,80.419,33554944,0.5,0.0554,0,2.233418,4.233683,65536,,0,-0.613172,0.0130411,0,0.029576,0.011445,3.17417,"Mg_a ",0,0,-0.30786,0.01123,0,-0.28627,0.021852,0,0.13573,0.020617,0,0.029725,0.013288,0,0.033776,0.05629,0,0.124592,0.019057,0,-0.287881,0.032464,0,-0.05692,0.016357,0,1.335267,0.065969,0,0.043094,0.058795,512,,,0,0.090121,0.023654,512,,,512,,,0,-0.112827,0.053406,0,0.059378,0.053448,512,,,0,-0.616042,0.015396,0,-0.142128,0.045415,0,-0.115538,0.026242,512,,,131337,,,4625184379086661504,2.054,0.028,288.1801199712207,-33.673682539424554,72.02424543263,-75.71218826371,7.031E-4,6.102E-4,87.41,4625184379086661504,72.02428318066,0.0312,-75.71218779369,0.0298,-0.019,0.0298,-0.637,2.099,2.096,0.044,0.106,0.038,355,-0.3688,353.1,0.0,0.0,31,,,26,0.985,false,6597.32,4.06366,16.138948,1986.56,14.5213,17.093288,6666.16,15.188207,1.312,1.905082,,,0,,,,,491157955,,0.002835,0.008413,0.004265,16.138948,0.002835,6597.32,-0.01,0.703,0.6104,0.0129,0.078603
2M04465595-7540277,10,5483,71.733142,-75.67437,92.9909,0,266.82901,0.021093,0.618326,0.067862,512,4073.988,92.913,33554944,0.8434,0.0616,0,1.972831,5.167645,65536,,0,-0.953882,0.0163644,0,0.067329,0.015205,1.55611,"Mg_a ",0,0,-0.44849,0.020019,0,-0.35943,0.035919,0,-0.023861,0.032705,0,0.057485,0.020907,0,-0.446584,0.086815,0,0.135592,0.025012,0,-0.428202,0.038197,0,0.040222,0.021504,0,0.371307,0.100934,0,-0.398006,0.088987,0,-0.07834,0.08777,0,0.075878,0.039002,512,,,512,,,0,-0.041967,0.087146,0,0.008908,0.083686,512,,,0,-0.921332,0.01877,0,-0.198958,0.074346,0,-0.134198,0.0379,512,,,131337,,,4625185379813972224,1.903,0.015,288.1728505826297,-33.75470611535509,71.73316790603,-75.67437214674,7.846E-4,7.107E-4,75.31,4625185379813972224,71.73320049974,0.0346,-75.67437246068,0.0363,0.0147,0.0346,0.4261,1.816,1.815,0.049,-0.071,0.044,318,0.0947,327.93,0.0,0.0,31,,,25,1.003,false,5369.24,4.67546,16.362585,1780.88,9.31589,17.211956,5150.65,15.468241,1.291,1.743715,,,0,,,,,491158075,,0.002913,0.006328,0.00432,16.362585,0.002913,5369.24,-0.01,0.7801,0.7157,0.0485,0.024336
2M04473268-7538267,10,5483,71.886192,-75.640762,135.242,0,229.804001,0.009564,0.252363,0.030207,512,3909.707,77.566,33554944,0.4414,0.0566,0,2.151196,4.344267,65536,,0,-0.657242,0.0124949,0,0.060037,0.01115,3.41429,"Mg_a ",0,0,-0.29472,0.010768,0,-0.33631,0.020804,0,0.11061,0.02003,0,0.055015,0.012558,0,-0.172234,0.054,0,0.119942,0.018194,0,-0.220961,0.029885,0,-8.59E-4,0.01554,0,0.042897,0.062262,0,0.303604,0.0561,512,,,0,0.133348,0.022645,512,,,512,,,0,0.001583,0.049775,0,0.195198,0.050543,512,,,0,-0.655212,0.014822,0,-0.150678,0.042631,0,-0.091488,0.025042,512,,,131337,,,4625186960361811840,2.203,0.175,288.11759787868124,-33.73335129453218,71.88617020584,-75.64076598465,6.822E-4,6.035E-4,101.36,4625186960361811840,71.88620772265,0.0296,-75.64076598458,0.0297,0.0208,0.0298,0.699,2.093,2.093,0.043,0.0,0.038,322,0.9197,352.84,0.028,0.07657,31,,,26,1.036,false,7567.34,6.28178,15.990009,2243.42,18.4174,16.961267,7733.52,15.026952,1.318,1.934316,,,0,,,,,491158108,,0.002899,0.00934,0.004696,15.990009,0.002899,7567.34,-0.008,0.6793,0.6068,-0.0474,0.024174
2M04494878-7537322,10,5483,72.453271,-75.625633,122.427,0,190.401001,0.013659,0.794658,0.045002,512,3917.06,83.315,33554944,0.535,0.0631,0,2.537874,5.584788,65536,,0,-1.086562,0.01636,0,-0.058201,0.015098,2.94164,"Mg_c ",0,0,-0.58844,0.01693,0,-0.59758,0.030581,0,-0.021362,0.030061,0,-0.089776,0.017658,0,-0.755354,0.078269,0,-0.066088,0.024023,0,-0.554171,0.034651,0,-0.123006,0.020152,0,-0.765913,0.084893,0,-0.586406,0.083789,512,,,0,0.106488,0.037264,512,,,512,,,0,-0.985937,0.070102,0,-0.161702,0.075105,512,,,0,-1.053762,0.019257,0,-0.253428,0.062311,0,-0.154168,0.037145,512,,,131584,,,4625189262464299264,1.793,0.097,288.034469205932,-33.60989495258918,72.45324370178,-75.62565894914,6.636E-4,5.998E-4,52.67,4625189262464299264,72.4532753782,0.0302,-75.62565851966,0.0303,-0.0333,0.0302,-1.103,1.772,1.769,0.04,0.097,0.038,328,-0.455,322.86,0.0,0.0,31,,,26,0.981,false,7051.44,9.9767,16.066671,2109.18,14.3346,17.02826,7169.94,15.109106,1.316,1.919153,,,0,,,,,491148419,,0.003155,0.007889,0.006011,16.066671,0.003155,7051.44,-0.008,0.6409,0.624,0.0972,0.09655
2M04510214-7531345,10,5483,72.758944,-75.526253,78.7387,0,239.072006,0.022743,0.287826,0.076197,512,3994.589,91.518,33554944,0.636,0.0564,0,2.013446,4.525223,65536,,0,-0.726992,0.0159525,0,0.010793,0.013957,1.55085,"Mg_c ",0,0,-0.40352,0.016092,0,-0.58778,0.030459,0,0.065277,0.027426,0,0.029657,0.018327,0,0.073586,0.075412,0,0.175282,0.023897,0,-0.393142,0.040881,0,0.011047,0.020647,0,0.102517,0.089874,0,-0.011206,0.079328,512,,,0,0.085358,0.033233,512,,,512,,,0,-0.342287,0.076618,0,0.040918,0.074152,512,,,0,-0.711312,0.018449,0,-0.253448,0.06475,0,-0.188208,0.034734,512,,,133385,,,4625191083530434432,1.762,0.032,287.88916789242245,-33.577880780140966,72.75894450427,-75.52628893554,9.37E-4,7.513E-4,32.18,4625191083530434432,72.75897599118,0.036,-75.52628859887,0.0402,0.0112,0.038,0.2949,1.772,1.771,0.05,0.076,0.055,351,1.1307,392.78,0.064,0.2325,31,,,27,1.042,false,4473.2,2.76269,16.560822,1407.93,6.40714,17.467093,4415.8,15.635372,1.302,1.83172,,,0,,,,,491149037,,0.002836,0.005674,0.004739,16.560822,0.002836,4473.2,-0.01,0.8083,0.8883,0.1968,0.129369
2M04504449-7531132,10,5483,72.685382,-75.520355,102.955,0,224.345993,0.014926,0.144902,0.04778,512,4027.617,85.193,33554944,0.8641,0.0545,0,1.917388,3.964148,65536,,0,-0.500742,0.012529,0,0.062641,0.011098,2.35451,"Mg_c ",0,0,-0.2231,0.011999,0,-0.22435,0.023297,0,0.24127,0.020935,0,0.082055,0.014253,0,-0.852684,0.057832,0,0.177572,0.018807,0,-0.283241,0.03323,0,0.034457,0.016422,0,0.061877,0.071125,0,0.028503,0.058265,0,0.12227,0.060345,0,0.122418,0.023041,512,,,512,,,0,-0.183657,0.058998,0,0.188738,0.054648,512,,,0,-0.496532,0.014555,0,0.041412,0.048699,0,-0.130048,0.025274,512,,,133385,,,4625191152249905536,1.955,-0.115,287.89107067501703,-33.59712777950501,72.68534355244,-75.52036623671,7.664E-4,6.039E-4,36.73,4625191152249905536,72.68537977196,0.0316,-75.52036605451,0.0324,0.0318,0.0326,0.9734,2.038,2.038,0.042,0.041,0.044,374,0.0317,384.5,0.0,0.0,31,,,27,1.0,false,5595.26,2.88931,16.317818,1780.08,9.48738,17.212444,5506.31,15.395743,1.302,1.816701,,,0,,,,,491149110,,0.002812,0.006424,0.004124,16.317818,0.002812,5595.26,-0.008,0.6666,0.7125,0.2247,0.053236
2M04502919-7530143,10,5483,72.621645,-75.503975,100.902,0,221.171005,0.021027,0.135895,0.066345,512,4281.53,91.328,33554432,1.3994,0.0568,0,1.924997,3.82628,65536,,0,-0.440242,0.0112259,0,0.045411,0.010557,1.83717,GKg_c,0,0,-0.2443,0.014182,0,-0.26851,0.02622,0,0.26653,0.022627,0,0.045495,0.016281,0,-0.088964,0.060792,0,0.096722,0.01761,0,-0.327661,0.030415,0,0.04553,0.015793,0,0.429087,0.079832,0,0.503154,0.055998,0,-0.13678,0.057882,0,0.053241,0.022193,512,,,0,0.354755,0.085712,0,-0.544017,0.067965,0,-0.089892,0.055403,0,-0.081326,0.027482,0,-0.438882,0.012707,0,0.010762,0.05418,0,-0.130008,0.023074,0,0.279177,0.054278,133385,,,4625191908164146304,2.022,-0.019,287.8802509746994,-33.61813630294218,72.62166990712,-75.50399493499,6.233E-4,5.242E-4,41.37,4625191908164146304,72.62170647825,0.0265,-75.50399458893,0.0272,0.0016,0.0272,0.059,2.061,2.06,0.036,0.078,0.036,391,-0.6222,381.73,0.0,0.0,31,,,27,0.977,false,7252.01,2.91389,16.03622,2547.53,13.6504,16.823244,6706.58,15.181643,1.276,1.641602,,,0,,,,,491149219,,0.00279,0.006452,0.00463,16.03622,0.00279,7252.01,-0.011,0.5696,0.5821,0.1702,0.075194
2M04483931-7527354,10,5483,72.163815,-75.459846,98.0779,0,234.197006,0.015679,0.07925,0.051073,512,4004.504,86.077,33554944,0.7883,0.055,0,2.002258,4.123959,65536,,0,-0.568292,0.0133622,0,0.041627,0.011779,2.09194,"Mg_b ",0,0,-0.2858,0.012765,0,-0.30416,0.024654,0,0.10132,0.022291,0,0.048365,0.015009,0,-0.275044,0.06146,0,0.254612,0.019979,0,-0.267431,0.034903,0,-0.01997,0.017363,0,0.414737,0.074564,0,0.234234,0.062892,512,,,0,0.060458,0.025266,512,,,512,,,0,-0.160787,0.062081,0,0.070358,0.058701,512,,,0,-0.560322,0.015538,0,-0.163068,0.051724,0,-0.096778,0.027445,512,,,131337,,,4625195103619798528,2.055,0.028,287.8848247929273,-33.74103977807755,72.16379551421,-75.45986182694,7.045E-4,6.516E-4,79.24,4625195103619798528,72.16383187265,0.0335,-75.45986125829,0.0318,0.0278,0.033,0.8414,2.058,2.054,0.044,0.128,0.04,373,-1.3558,345.72,0.0,0.0,31,,,27,0.95,false,5410.48,2.69062,16.354277,1750.45,8.11314,17.23067,5283.59,15.440573,1.3,1.790098,,,0,,,,,491158833,,0.002808,0.005754,0.004396,16.354277,0.002808,5410.48,-0.007,0.7027,0.6535,0.0287,0.059637
2M04485175-7524479,9,5483,72.215635,-75.413322,112.407,0,213.666,0.011478,0.199497,0.03366,512,3922.802,82.511,33554944,0.3474,0.0567,0,2.205464,4.489043,65536,,0,-0.713272,0.0140927,0,0.049068,0.012431,2.54156,"Mg_b ",0,0,-0.34916,0.01271,0,-0.32104,0.024348,0,0.11432,0.022998,0,0.0462,0.014662,0,-0.090994,0.0624,0,0.124432,0.020653,0,-0.317111,0.034298,0,-0.02828,0.017663,0,-0.126933,0.072244,0,0.114104,0.065755,512,,,0,0.152668,0.027095,512,,,512,,,0,-0.095027,0.059124,0,0.132568,0.059806,512,,,0,-0.706442,0.016589,0,-0.366948,0.050679,0,-0.141138,0.029297,512,,,131337,,,4625195653375609600,2.055,0.145,287.82719791498454,-33.74721287355627,72.2156083535,-75.41332353323,6.017E-4,5.185E-4,57.73,4625195653375609600,72.21564395018,0.0279,-75.41332345,0.0271,-0.0371,0.0274,-1.3532,2.017,2.017,0.036,0.019,0.034,381,-0.8714,365.33,0.0,0.0,31,,,27,0.968,false,7251.8,3.87579,16.036253,2159.73,10.7311,17.002542,7375.54,15.078411,1.315,1.924131,,,0,,,,,491158892,,0.002816,0.006074,0.004474,16.036253,0.002816,7251.8,-0.01,0.5792,0.5435,0.1337,0.024781
2M04420596-7600190,10,5483,70.524865,-76.005302,136.571,0,202.042999,0.020892,0.205533,0.067005,512,4227.799,91.477,33554944,0.9013,0.0729,0,2.37799,6.442552,65536,,0,-1.330762,0.0156676,0,0.118999,0.01643,1.8398,GKg_a,0,0,-0.47686,0.026701,0,-0.20561,0.043427,0,0.47831,0.041131,0,0.130715,0.024003,0,-0.149654,0.101159,0,0.141492,0.024702,0,-0.308372,0.030314,0,0.145852,0.021059,0,1.295667,0.112421,0,0.369554,0.097385,0,0.17379,0.089061,0,0.113208,0.045854,512,,,0,0.203005,0.08967,0,-0.136037,0.097487,0,-0.091702,0.092215,0,-0.229396,0.053923,0,-1.314862,0.017792,0,-0.305128,0.084682,0,-0.069668,0.039541,0,0.565008,0.093401,131072,,,4628062733023835776,2.172,-0.005,288.6823820666924,-33.88768214545894,70.52491029089,-76.00529861989,5.197E-4,4.859E-4,29.62,4628062733023835776,70.52494987535,0.0244,-76.00529868867,0.025,-0.0318,0.0259,-1.2245,2.154,2.154,0.031,-0.015,0.032,303,2.3065,366.07,0.111,2.046,31,,,25,1.095,false,12947.7,6.73692,15.406882,4644.54,17.2544,16.171186,12004.2,14.549565,1.286,1.621621,,,0,,,,,491157019,,0.002813,0.004905,0.004461,15.406882,0.002813,12947.7,0.001,0.4944,0.5116,0.0576,0.041265
2M04365541-7553232,5,5506,69.230877,-75.889793,74.8634,4,234.917999,0.024773,0.315698,0.05589,512,4008.083,95.764,33554944,0.6706,0.0619,0,2.181273,5.54085,65536,,0,-1.073062,0.0192137,0,0.072819,0.017424,1.62975,"Mg_a ",0,0,-0.44507,0.022681,0,-0.62943,0.040576,0,0.10024,0.037274,0,0.078465,0.023493,0,-0.219354,0.099281,0,0.347952,0.029022,0,-0.306171,0.044216,0,0.096792,0.024712,0,0.465097,0.112495,0,0.724564,0.106199,512,,,0,0.144178,0.047982,512,,,512,,,0,-1.025137,0.098077,0,-0.005602,0.098798,512,,,0,-1.042962,0.022095,0,-0.343428,0.085324,0,-0.119768,0.046079,512,,,133385,,,4628078813381341696,1.978,-0.385,288.7212075223604,-34.220877982394164,69.23077386839,-75.88980258807,8.634E-4,6.484E-4,46.03,4628078813381341696,69.23080941377,0.0349,-75.88980404382,0.0338,0.0267,0.0352,0.7588,1.977,1.95,0.048,-0.328,0.047,296,1.5459,342.12,0.117,1.07,31,,,22,1.064,false,6416.6,5.46611,16.169104,2024.0,15.1995,17.073015,6305.61,15.248578,1.298,1.824437,,,0,,,,,,,0.002906,0.008618,0.004662,16.169104,0.002906,6416.6,-0.013,0.7673,0.7597,0.2786,0.09687
2M04353853-7539283,10,5483,68.910546,-75.657883,91.1668,0,225.164001,0.02055,0.654048,0.065655,512,4049.204,92.835,33554944,0.6531,0.0625,0,2.351257,5.392766,65536,,0,-1.026762,0.01714,0,0.058323,0.015927,1.62274,"Mg_a ",0,0,-0.50091,0.020907,0,-0.55489,0.037282,0,0.08544,0.034311,0,0.055045,0.021548,0,-0.014304,0.090656,0,0.100732,0.026081,0,-0.459231,0.039038,0,0.033762,0.022295,0,0.115727,0.103618,0,0.603664,0.09413,0,0.15795,0.092114,0,0.055699,0.041871,512,,,512,,,0,0.007203,0.089465,0,0.088268,0.087897,512,,,0,-0.996702,0.019703,0,-0.285188,0.077113,0,-0.100628,0.040302,512,,,133385,,,4628129975031746048,2.132,-0.136,288.5122309058611,-34.39460627283231,68.91043947751,-75.65791442005,7.59E-4,6.715E-4,35.67,4628129975031746048,68.91047645696,0.0372,-75.65791499235,0.0345,0.0453,0.0371,1.2201,2.065,2.061,0.044,-0.129,0.046,282,-0.4596,276.5,0.0,0.0,31,,,27,0.979,false,5819.58,9.20155,16.275137,1891.89,20.263,17.146301,5665.25,15.364848,1.299,1.781453,,,0,,,,,491162814,,0.003246,0.011959,0.005709,16.275137,0.003246,5819.58,-0.007,0.7025,0.7304,0.1155,0.147709
2M04432446-7553182,10,5483,70.851917,-75.888412,155.254,0,207.106995,0.009349,0.600221,0.030495,512,3885.2,77.164,33554944,0.2985,0.0658,0,2.462351,5.90227,65536,,0,-1.181062,0.0151512,0,0.026888,0.014401,3.27303,"Mg_a ",0,0,-0.49103,0.015433,0,-0.44549,0.027519,0,0.04378,0.028315,0,0.012931,0.015685,512,,,0,0.094202,0.022002,0,-0.424371,0.029527,0,-0.028152,0.018248,0,0.798047,0.075116,0,0.374604,0.076484,512,,,0,0.125718,0.034299,512,,,512,,,0,-0.112537,0.060325,0,0.149598,0.067129,512,,,0,-1.157261,0.01804,0,-0.220628,0.054579,0,-0.142868,0.034077,512,,,131337,,,4628156019714597248,1.99,0.082,288.51442823021324,-33.86475384565822,70.85188092105,-75.88839871926,6.109E-4,5.982E-4,107.63,4628156019714597248,70.85191931469,0.0281,-75.888397745,0.0302,0.0044,0.0293,0.1489,2.118,2.106,0.038,0.219,0.037,288,0.6829,309.35,0.0,0.0,31,,,24,1.028,false,8917.92,45.3107,15.811708,2525.33,53.3534,16.832745,9320.18,14.824334,1.328,2.008411,,,0,,,,,491157101,,0.006166,0.023108,0.01242,15.811708,0.006166,8917.92,-0.008,0.6097,0.5994,-0.012,0.057347
2M04410498-7547346,10,5483,70.270784,-75.792946,99.6586,0,212.932007,0.013282,0.207993,0.040351,512,4038.73,86.335,33554944,0.9652,0.0549,0,2.161275,4.030521,65536,,0,-0.529122,0.0128272,0,0.053716,0.011399,2.46258,"Mg_a ",0,0,-0.18345,0.012615,0,-0.18777,0.024337,0,0.20495,0.021805,0,0.058192,0.014845,0,0.006406,0.060118,0,0.113952,0.019317,0,-0.258602,0.033878,0,0.039899,0.016868,0,0.139547,0.073887,0,0.382864,0.060554,0,-0.02008,0.062589,0,0.05231,0.024128,512,,,512,,,0,-0.192457,0.061633,0,0.106578,0.05695,512,,,0,-0.526332,0.014867,0,-0.078948,0.050906,0,-0.094488,0.026188,512,,,133385,,,4628160349041620224,1.989,-0.102,288.4822743971076,-34.03389971407232,70.27098975807,-75.79295122894,7.693E-4,6.819E-4,55.23,4628160349041620224,70.27102619158,0.0335,-75.79295129481,0.0341,-0.0609,0.0352,-1.7287,2.012,2.012,0.046,-0.015,0.044,299,0.5139,318.04,0.071,0.3911,31,,,26,1.02,false,6247.86,2.92227,16.198038,2065.36,9.84517,17.051056,6002.26,15.302109,1.291,1.748947,,,0,,,,,491157761,,0.002802,0.00588,0.004394,16.198038,0.002802,6247.86,-0.01,0.742,0.7115,0.1125,0.182767
